ACC 770,
ACC 781,
ACTSC 221,
ACTSC 231,
ACTSC 232,
ACTSC 331,
ACTSC 371,
ACTSC 372,
ACTSC 431,
ACTSC 432,
ACTSC 445,
ACTSC 446,
ACTSC 471,
ACTSC 612,
ACTSC 614,
ACTSC 831,
ACTSC 832,
ACTSC 845,
ACTSC 846,
ACTSC 970,
AFM 101,
AFM 123,
AFM 131,
AFM 202,
AFM 231,
AFM 272,
AFM 273,
AFM 291,
AFM 321,
AFM 323,
AFM 328,
AFM 329,
AFM 333,
AFM 341,
AFM 362,
AFM 373,
AFM 391,
AFM 401,
AFM 424,
AFM 425,
AFM 428,
AFM 429,
AFM 433,
AFM 462,
AFM 476,
AFM 477,
AFM 478,
AFM 482,
AFM 491,
AHS 600,
AMATH 231,
AMATH 250,
AMATH 271,
AMATH 350,
AMATH 442,
AMATH 453,
AMATH 731,
ANTH 100,
ANTH 201,
ANTH 202,
ANTH 204,
ANTH 261,
ANTH 300,
ANTH 311,
ANTH 330,
ANTH 355,
ANTH 400,
APPLS 205R,
APPLS 301,
ARBUS 100,
ARBUS 101,
ARBUS 200,
ARBUS 202,
ARBUS 300,
ARBUS 301,
ARBUS 400,
ARCH 100,
ARCH 110,
ARCH 125,
ARCH 142,
ARCH 172,
ARCH 192,
ARCH 226,
ARCH 246,
ARCH 260,
ARCH 292,
ARCH 327,
ARCH 342,
ARCH 465,
ARTS 111,
HLTH 202,
HLTH 218,
HLTH 220,
HLTH 245,
HLTH 301,
HLTH 333,
HLTH 341,
HLTH 344,
HLTH 346,
HLTH 407,
HLTH 442,
HLTH 473,
HRM 200,
HRM 301,
HRM 303,
HRM 307,
HSG 611,
HSG 720,
HUMSC 101,
HUMSC 301,
INDEV 100,
INDEV 200,
INDEV 300,
INDEV 387,
INDEV 613,
INTEG 120,
INTEG 251,
INTEG 452A,
INTST 101,
ITAL 101,
ITAL 155,
ITALST 291,
ITALST 360,
JAPAN JP,
JAPAN 101R,
JAPAN 102R,
JAPAN 201R,
JAPAN 202R,
JAPAN 301R,
JS 131,
KIN 105,
KIN 121,
KIN 155,
KIN 217,
KIN 301,
KIN 340,
KIN 343,
KIN 346,
KIN 354,
KIN 357,
KIN 405,
KIN 406,
KIN 407,
KIN 422,
KIN 428,
KIN 456,
KIN 458,
KIN 492A,
KOREA 101R,
KOREA 102R,
KOREA 272R,
LAT 101,
LAT 201,
LAT 331,
LAT 490,
LS 101,
LS 221,
LS 227,
LS 228,
LS 229,
LS 235,
LS 272,
LS 280,
LS 291,
LS 306,
LS 319,
LS 322,
LS 327,
LS 344,
LS 351,
LS 366,
LS 373,
LS 401,
LS 402,
LS 428,
MATBUS 470,
MATBUS 471,
MATH 103,
ENGL 350A,
ENGL 350B,
ENGL 362,
ENGL 371,
ENGL 376R,
ENGL 392A,
ENGL 463,
ENGL 700,
ENGL 710,
ENGL 730,
ENGL 770,
ENGL 788,
ENGL 789,
ENGL 790,
ENVE 100
ENVE 214,
ENVE 223,
ENVE 292,
ENVS 105,
ENVS 195,
ENVS 200,
ENVS 201,
ENVS 278,
ENVS 334,
ERS 110,
ERS 210,
ERS 211,
ERS 311,
ERS 316,
ERS 464,
ERS 680,
FINE 101,
FINE 102,
FINE 130,
FINE 205,
FINE 206,
FINE 252,
FR 101,
FR 151,
FR 152,
FR 192B,
FR 192A,
FR 192B,
FR 192A,
FR 192B,
FR 192A,
FR 192B,
FR 192A,
FR 192B,
FR 192A,
FR 192B,
FR 197,
FR 203,
FR 251,
FR 252,
FR 276,
FR 291,
FR 297,
FR 303,
FR 343,
FR 351,
FR 424,
FR 485,
FR 651,
FR 671,
PHIL 673,
PHS 601,
PHS 604,
PHS 605,
PHS 607,
PHS 611,
PHS 613,
PHS 614,
PHS 616,
PHS 623,
PHS 632,
PHS 641,
PHS 655,
PHS 661,
PHYS 111L,
PHYS 111,
PHYS 111L,
PHYS 111,
PHYS 111L,
PHYS 111,
PHYS 111L,
PHYS 111,
PHYS 111L,
PHYS 111,
PHYS 111L,
PHYS 115,
PHYS 121,
PHYS 121L,
PHYS 121,
PHYS 121L,
PHYS 121,
PHYS 121L,
PHYS 131L,
PHYS 225,
PHYS 232L,
PHYS 236,
PHYS 256L,
PHYS 256,
PHYS 256L,
PHYS 275,
PHYS 363,
PHYS 364,
PHYS 380,
PHYS 434,
PHYS 461,
PHYS 474,
PHYS 475,
PHYS 701,
PHYS 704,
PLAN 100,
PLAN 102,
PLAN 210,
PLAN 281,
PLAN 300,
PLAN 320,
PLAN 440,
PLAN 625,
PLAN 674,
PLAN 700,
PLAN 701,
PLAN 704,
PLAN 801,
PLAN 802,
PMATH 340,
PMATH 347,
PMATH 351,
PMATH 465,
PMATH 665,
PMATH 745,
PMATH 753,
PMATH 930,
PMATH 990,
PORT 101,
PS 611,
PS 621,
PS 624,
PS 625,
PSCI 100,
PSCI 231,
PSCI 260,
PSCI 281,
PSCI 300,
PSCI 331,
PSCI 389,
PSCI 390,
PSCI 456,
PSCI 461,
PSCI 481,
PSCI 499A,
PSCI 600,
PSCI 657,
PSCI 661,
PSCI 687,
PSYCH 101,
PSYCH 101R,
PSYCH 101,
PSYCH 101R,
PSYCH 101,
PSYCH 101R,
FR 671,
GBDA 101,
GBDA 203,
GBDA 301,
GBDA 303,
GBDA 304,
GENE 121,
GEOG 100,
GEOG 101,
GEOG 102,
GEOG 181,
GEOG 187,
GEOG 201,
GEOG 202,
GEOG 215,
GEOG 222,
GEOG 281,
GEOG 293,
GEOG 294,
GEOG 303,
GEOG 308,
GEOG 309,
GEOG 310,
GEOG 319,
GEOG 371,
GEOG 405,
GER 101,
GER 102,
GER 201,
GER 202,
GER 271,
GER 298,
GER 301,
GER 308,
GER 331,
GER 431,
GER 600,
GER 653,
GER 700,
GER 753,
GERON 201,
GERON 218,
